Competitor,Nat,Mark
Beatrice CHEBET,KEN,1734.14
Lilian Kasait RENGERUK,KEN,1766.89
Margaret Chelimo KIPKEMBOI,KEN,1767.59
Vivian Jepkemei CHERUIYOT,KEN,1772.53
Grace Loibach NAWOWUNA,KEN,1787.42
Alice Aprot NAWOWUNA,KEN,1793.51
Janeth CHEPNGETICH,KEN,1804.97
Emmaculate Anyango ACHOL,KEN,1806.43
Catherine Reline AMANANG'OLE,KEN,1807.42
Betsy SAINA,KEN,1807.78
Hellen OBIRI,KEN,1810.02
Florence KIPLAGAT,KEN,1811.53
Pauline KAMULU,KEN,1820.97
Faith CHEPKOECH,KEN,1822.77
Agnes Jebet TIROP,KEN,1825.2
Sally KIPYEGO,KEN,1826.37
Selah BUSIENEI,KEN,1826.4
Linet Chepkwemoi MASAI,KEN,1826.5
Miriam CHEBET,KEN,1827.3
Betty CHELANGAT,KEN,1827.94
Gladys CHERONO,KEN,1829.23
Edith MASAI,KEN,1830.26
Tegla LOROUPE,KEN,1832.03
Rosemary WANJIRU,KEN,1835.75
Irine Jepchumba KIMAIS,KEN,1837.24
Daisy CHEROTICH,KEN,1837.31
Lucy Kabuu WANGUI,KEN,1839.96
Irine Chepet CHEPTAI,KEN,1844.0
Loice CHEMNUNG,KEN,1844.86
Sheila CHEPKIRUI,KEN,1845.81
Joan Chelimo MELLY,KEN,1846.51
Emily CHEBET,KEN,1847.02
Sylvia Jebiwot KIBET,KEN,1847.2
Eva CHERONO,KEN,1849.23
Irene Kwambai KIPCHUMBA,KEN,1855.67
Dorcas Jepchumba KIMELI,KEN,1855.9
Priscah Jepleting CHERONO,KEN,1856.43
Leah MALOT,KEN,1857.7
Peninah ARUSEI,KEN,1857.8
Joyce Chepkemoi TELE,KEN,1859.01
Jane Gakunyi WANJIKU,KEN,1864.34
Pauline Chemning KORIKWIANG,KEN,1866.29
Agnes Mwikali MUTUKU,KEN,1866.89
Veronicah Nyaruai WANJIRU,KEN,1867.56
Evaline CHIRCHIR,KEN,1868.09
Grace MOMANYI,KEN,1868.24
Vibian CHEPKURUI,KEN,1869.42
Judy Jepngetich CHEPASKWONY,KEN,1869.42
Fancy CHEMUTAI,KEN,1870.2
Sheila CHELANGAT,KEN,1870.27
Sharon LOKEDI,KEN,1871.07
Violah CHEPTOO,KEN,1871.09
Nancy JELAGAT,KEN,1871.11
Gloria KITE,KEN,1873.04
Eveline Nganga WAMBUI,KEN,1874.08
Lornah KIPLAGAT,KEN,1874.28
Sally BARSOSIO,KEN,1875.38
Mercy CHELANGAT,KEN,1875.39
Jane Jepkosgei KIPTOO,KEN,1875.79
Janeth Nyiva MUTUNGI,KEN,1876.01
Caroline Chepkoech KIPKIRUI,KEN,1876.38
Eveline Kemunto KIMWEI,KEN,1876.5
Caroline KARIBA,KEN,1876.57
Grace Mbuthye KIMANZI,KEN,1877.28
Tabithanjeri KAMAU,KEN,1877.4
Philes ONGORI,KEN,1878.85
Winfredah KEBASO,KEN,1879.92
Selly Chepyego KAPTICH,KEN,1882.11
Hellen Ekalale LOBUN,KEN,1882.89
Alice Jemeli TIMBILILI,KEN,1883.99
Lineth CHEPKURUI,KEN,1884.2
Joyce CHEPKIRUI,KEN,1886.1
Jackline CHEPNGENO,KEN,1887.73
Salina Jebet KOSGEI,KEN,1887.83
Joyciline JEPKOSGEI,KEN,1888.28
Isabella OCHICHI,KEN,1889.43
Hilde KIBET,KEN,1889.69
Rose CHEPCHUMBA,KEN,1889.81
Brillian Jepkorir KIPKOECH,KEN,1890.39
Doris Chepkwemoi CHANGEYWO,KEN,1891.01
Susan CHEPKEMEI,KEN,1892.04
Agnes Jebet NGETICH,KEN,1894.83
Dolphine Nyaboke OMARE,KEN,1896.45
Gladys CHESIR,KEN,1896.87
Doricah OBARE,KEN,1897.07
Mary Mureithi WANGARI,KEN,1898.81
Hellen KIMAIYO-KIPKOSKEI,KEN,1898.91
Julia Mombi MURAGA,KEN,1899.38
Delillah ASIAGO,KEN,1900.56
Lydia CHEROMEI,KEN,1901.09
Esther CHEMTAI,KEN,1902.06
Caroline NYAKAGWA,KEN,1902.25
Vicoty CHEPNGENO,KEN,1902.9
Sarah WANJIRU,KEN,1906.17
Stacey Chepkemboi NDIWA,KEN,1906.36
Sandrafelis Chebet TUEI,KEN,1907.29
Ruth CHEPNGETICH,KEN,1907.9
Beatrice Chepkemoi MUTAI,KEN,1909.81
Vane Nyaboke NYANAMBA,KEN,1910.5
Esther Wanjiru MAINA,KEN,1912.44
